url,title,subTitle,productInfoMediaDetails,description,relatedProduct1,relatedProduct2,onDemand,rent,price,director,publisher
https://market.beta.formed.org/catalog/product/view/id/508/s/vd-crossingthegoaljesussaidthenar-en/,"Crossing the Goal:  Jesus said, ""The Narrow Way""",,Movie - 25 mins,"
        ,
  
        ,
  ,The way of Jesus, explicated in the teachings of the Catholic Church, is not an easy path to follow. Many opt out for a life that is broader and more comfortable. The men of , discuss real moments when it is difficult not to walk away from Christ, and to instead be Jesus’s voice in our world.,The way of Jesus, explicated in the teachings of the Catholic Church, is not an easy path to follow. Many opt out for a life that is broader and more comfortable. The men of , discuss real moments when it is difficult not to walk away from Christ, and to instead be Jesus’s voice in our world.","
                            Crossing the Goal:  Jesus said, ""The Kingdom""","
                            Crossing the Goal:  Jesus said, ""Wake up""",,Rent: $2.99,Purchase: $4.99,"
      Publisher: EWTN",    
,,,,,,,,,,,
https://market.beta.formed.org/catalog/product/view/id/331/s/finding-fatima/,Finding Fatima,,Movie -  1 hr 29 mins,"Produced by the award-winning filmmakers of the highly acclaimed feature film ,, this powerful and in-depth documentary combines archival footage, dramatic reenactments, original interviews with Fatima experts, and stunning visuals to tell the whole story of the apparitions of Our Lady of Fatima. With high production values and a beautiful look, artists and filmmakers Ian Higgins and Dominic Higgins present a compelling docu-drama on the crucial details about the appearances and messages of Our Lady in Fatima in 1917, a message of prayer, penance, and conversion that is desperately needed in our modern world. From the initial apparitions of the angel who prepared the children for Our Lady's coming, to the Miracle of the Sun, including moving film footage from ,, this illuminating and inspiring film will impact all those who see it to take heed of the critical messages of Our Lady of Fatima.,
        ,
  
        ,
  ","
                            The 13th Day","
                            The Story of the Nativity",Available ON DEMAND,Rent: $4.99,Purchase: $15.99,"
      Director: Ian Higgins & Dominic Higgins",Publisher: Ignatius Press
,,,,,,,,,,,
https://market.beta.formed.org/shop-products/watch/feature-films/saints.html?language=87&publisher=78%2C63,,,,,,,"
    ,

    ,
",,,,
,,,,,,,,,,,
https://market.beta.formed.org/shop-products/watch/feature-films/saints.html?language=87&publisher=63%2C78,,,,,,,"
    ,

    ,
",,,,
,,,,,,,,,,,
https://market.beta.formed.org/shop-products/watch/feature-films/saints.html?language=87%2C86&publisher=78,,,,,,,"
    ,

    ,
",,,,
,,,,,,,,,,,
https://market.beta.formed.org/shop-products/watch/feature-films/saints.html?language=86&publisher=63%2C78,,,,,,,"
    ,
    ,
    ,
",,,,
,,,,,,,,,,,
https://market.beta.formed.org/shop-products/watch/feature-films/saints.html?is_available_on_demand=92&language=86&publisher=78,,,,,,,"
    ,

    ,
",,,,
,,,,,,,,,,,
https://market.beta.formed.org/catalog/product/view/id/386/s/vd-the4thwiseman-en/,The Fourth Wise Man,,Movie -  1 hr 12 mins,"
        ,
  
        ,
  ","
                            The Story of the Nativity","
                            The Jeweller's Shop",,Rent: $3.99,Purchase: $11.99,"
      Publisher: Vision Video",    
,,,,,,,,,,,
https://market.beta.formed.org/catalog/product/view/id/470/s/vd-lucyandfriendsgreed-en/,Lucy and Friends-Greed,,Movie - 30 mins,"When Lucy wants to keep an entire plate of cookies for herself, Sr. Grace helps Lucy understand the sin of greed and the importance of selflessness. Lucy’s friends show us the story of Anne de Guigne who was a very selfish young girl, but changes her heart to love her family and others through prayer.,
        ,
  
        ,
  ","
                            Lucy and Friends-Meekness","
                            Lucy and Friends-The Church",,Rent: $1.99,Purchase: $5.99,"
      Publisher: HMTV - Fundacion EUK Mamie",    
,,,,,,,,,,,
https://market.beta.formed.org/catalog/product/view/id/325/s/saint-rita/,Saint Rita,,Movie -  3 hrs 24 mins,"er story combines high drama, great love, deep betrayal, profound forgiveness, and strong faith. This story is about the brave woman who married her knight, helped him overcome his dark past and convert to faith, happily bore him two children, and later endures immense pain as she loses everything in her life.  ,
        ,
  
        ,
  ,Famous as the patron of hopeless situations, St. Rita of Cascia, a beautiful woman who lived in Italy in the fourteenth century, is immortalized in this wonderful, deeply moving film. Starring Vittoria Belvedere and Martin Crewes, h,She finds peace and new hope through the generosity of a nearby convent of sisters, and with their help she develops a deep union with Christ that greatly inspires all near her.,Famous as the patron of hopeless situations, St. Rita of Cascia, a beautiful woman who lived in Italy in the fourteenth century, is immortalized in this wonderful, deeply moving film. Starring Vittoria Belvedere and Martin Crewes, h,She finds peace and new hope through the generosity of a nearby convent of sisters, and with their help she develops a deep union with Christ that greatly inspires all near her.","
                            Santa Bárbara","
                            Saint Rita of Cascia",Available ON DEMAND,Rent: $4.99,Purchase: $11.99,"
      Director: Giorgio Capitani",Publisher: Ignatius Press
,,,,,,,,,,,
https://market.beta.formed.org/shop-products/watch/feature-films/test-category.html?publisher=76%2C67%2C63,,,,,,,"
    ,

    ,
",,,,
,,,,,,,,,,,
